scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,7,8700,8750,0.4606106792797407,0.45054287251299563,-0.010067806766745069,0.9781424807985604,0.47681586251737,0.47675067835148804,-6.518416588197073e-05,0.6810698236231921,0.6810342359075916,-3.558771560052687e-05,40393.90189314005,41021.7841707682,5958.308433377757,40393.90189314005,34435.59345976229,4747.9531036613125,41021.7841707682,36273.83106710689,4.478555105017844,4.480567283944923,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,8,8800,8850,0.4556998082812761,0.453377954452139,-0.002321853829137077,0.9949048610797222,0.47855991480441074,0.4783113957316925,-0.00024851907271822293,0.6640598850143905,0.6640116073688436,-4.82776455469347e-05,40301.96382139344,40501.16176116159,12047.782743613727,40301.96382139344,28254.18107777971,4122.893962789885,40501.16176116159,36378.2677983717,4.484414919050573,4.482538298332734,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,9,8900,8950,0.8609375625504697,0.45037164868304824,-0.4105659138674215,0.5231176664528987,0.4882676740124666,0.4792297536956424,-0.00903792031682421,0.6875597247928267,0.6763231071322183,-0.01123661766060835,30303.466718736534,40640.47121030483,13317.58640024233,30303.466718736534,16985.880318494204,4362.113505711504,40640.47121030483,36278.35770459333,4.483595303142408,4.482210259031651,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,0,8000,8050,0.6349313321937973,0.6435550931295465,0.008623760935749236,1.0135821946382022,2.3397374442457437,2.212964426053079,-0.12677301819266473,0.4832511460634387,0.47716305350515326,-0.006088092558285463,17696.95142702755,18078.579317142903,-7348.736103776204,17696.95142702755,25045.687530803756,-5627.772233536566,18078.579317142903,23706.35155067947,1.6124023727686918,1.6136572612972617,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,1,8100,8150,1.6081423018978318,0.31733665191399957,-1.2908056499838323,0.1973312010631759,3.4791867984681937,2.5233841005839164,-0.9558026978842773,0.4951431585546834,0.679774649971595,0.1846314914169116,-847.6675842151346,21261.609721917175,-7288.984240910357,-847.6675842151346,6441.316656695222,-7375.589346294555,21261.609721917175,28637.199068211732,-2.250735366356876,1.9426354119537774,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,2,8200,8250,0.6383114429729948,0.6302696787166879,-0.008041764256306871,0.9874015038507666,2.0178125939577,2.0213353369800955,0.0035227430223954137,0.47019169647471093,0.469732396373368,-0.00045930010134292987,18574.662093895597,18907.285012827735,-7437.406236747335,18574.662093895597,26012.06833064293,-5963.162044559848,18907.285012827735,24870.447057387584,1.6131207253419697,1.6197827255075452,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,3,8300,8350,1.5445972798412893,0.6579855860641639,-0.8866116937771253,0.42599167734632637,2.9292884074287886,2.2818447066085183,-0.6474437008202703,0.5263834759641755,0.4852242992613583,-0.04115917670281716,-1123.6130312249797,17643.678778739293,-7387.578585718644,-1123.6130312249797,6263.965554493664,-7448.4374803543715,17643.678778739293,25092.116259093666,-1.9819955213228158,1.6179220358999904,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,4,8400,8450,1.5886363971721262,0.32099337757011803,-1.267643019602008,0.20205591294616354,3.0568189002625332,2.1305724105463426,-0.9262464897161906,0.5618116248635057,0.6859344954736707,0.12412287061016503,-1119.8513677803999,21453.199604226662,-7527.018129866735,-1119.8513677803999,6407.166762086335,-7521.737037157666,21453.199604226662,28974.936641384327,-1.7585048285714902,1.929417641253093,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,5,8500,8550,0.6456156970777074,0.6400916812208693,-0.005524015856838038,0.9914438018129953,1.8616424617251817,1.8232990172526227,-0.038343444472558996,0.48019232428660547,0.48046225591993297,0.0002699316333275026,18104.673255142083,18439.332187212087,-7394.335062911094,18104.673255142083,25499.008318053176,-6453.191027897128,18439.332187212087,24892.523215109213,1.6154930822849585,1.6272911139668509,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,6,8600,8650,0.6543832879559142,0.32005602721204346,-0.3343272607438707,0.4890956616752805,2.6890765473375136,2.4319957807034815,-0.257080766634032,0.4721456797924633,0.6806179343442856,0.20847225455182233,17982.465400165027,21365.826700538244,-7436.076784192346,17982.465400165027,25418.54218435737,-6218.800393058502,21365.826700538244,27584.627093596748,1.6105436255159322,1.9548844400702687,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,7,8700,8750,1.3964899595752276,1.3399094255989343,-0.05658053397629326,0.9594837516816065,2.5886970303474577,2.6008456334816805,0.012148603134222835,0.5561593708430304,0.5827559747332646,0.026596603890234216,-704.5623500040647,-1564.9236083717585,-7369.954821434881,-704.5623500040647,6665.392471430816,-7449.805233630745,-1564.9236083717585,5884.881625258986,-2.626718071545413,-1.457380517076181,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,8,8800,8850,1.5186752861426955,0.30419717156498005,-1.2144781145777155,0.20030428778334483,3.9890530848635364,3.3450885419034333,-0.6439645429601031,0.4854170751736203,0.6620461502307683,0.17662907505714798,-941.6763478247594,21463.211925864736,-7554.412656858182,-941.6763478247594,6612.736309033423,-7527.286495833236,21463.211925864736,28990.498421697972,-1.6856549177786764,1.9453775806542473,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,9,8900,8950,1.6760661000409698,0.33148018998387574,-1.344585910057094,0.19777274295791378,3.223369468283471,2.3057253757147045,-0.9176440925687666,0.5481635307651249,0.6724222721058609,0.124258741340736,-1079.5014921176237,21278.020966289565,-7379.425749041291,-1079.5014921176237,6299.924256923668,-7290.909714062487,21278.020966289565,28568.930680352052,-2.3971397221854938,1.9258644141877785,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
