y_obs_rate,comparator,trial,is_primary,rmse_comparator_complementary,rmse_comparator_fullcoverage,rmse_joint_complementary,rmse_joint_fullcoverage,delta_G_complementary,delta_G_fullcoverage,I,D_G,D_J,identity_abs_err
0.1,single_gaussian,5,True,0.8729783429958187,0.5611907972257487,0.7381713020793752,0.41320485256779355,0.13480704091644347,0.14798594465795517,-0.013178903741511705,0.31178754577006995,0.32496644951158166,0.0
0.1,single_gaussian,6,True,0.7536251767679415,0.5123404617892342,0.5935778080630932,0.40996820022578984,0.16004736870484826,0.10237226156344437,0.05767510714140389,0.2412847149787073,0.1836096078373034,0.0
0.1,single_gaussian,7,True,0.8880290156379779,0.5776322596803931,0.6465841022634592,0.48357770555122537,0.24144491337451868,0.09405455412916774,0.14739035924535093,0.31039675595758476,0.16300639671223383,0.0
0.1,single_gaussian,8,True,0.92777942043332,0.5543385189758498,0.573272289004312,0.41496772905902535,0.3545071314290079,0.1393707899168245,0.21513634151218342,0.3734409014574701,0.1583045599452867,0.0
0.1,single_gaussian,9,True,0.7615640118847021,0.4981863369695962,0.6809241852188437,0.4405078128613571,0.08063982666585845,0.05767852410823909,0.022961302557619356,0.26337767491510594,0.24041637235748659,0.0
0.1,single_bernoulli,0,False,0.9669593987157711,1.052015715188885,0.4791538878588097,0.394495255147119,0.4878055108569614,0.6575204600417659,-0.1697149491848045,-0.08505631647311385,0.08465863271169072,5.551115123125783e-17
0.1,single_bernoulli,1,False,1.115993273942466,1.1679102648256687,0.7037202763012845,0.41464042596946077,0.4122729976411815,0.753269838856208,-0.3409968412150265,-0.051916990883202674,0.28907985033182376,5.551115123125783e-17
0.1,single_bernoulli,2,False,1.211092337943198,1.1670519844100025,0.6609219605360916,0.4049079800645086,0.5501703774071063,0.7621440043454939,-0.21197362693838762,0.044040353533195464,0.256013980471583,5.551115123125783e-17
0.1,single_bernoulli,3,False,1.0346578930501944,1.0628503446258943,0.6204481583050724,0.4411935865938725,0.414209734745122,0.6216567580320218,-0.2074470232868998,-0.02819245157569994,0.1792545717111999,5.551115123125783e-17
0.1,single_bernoulli,4,False,1.1162846384699918,1.1639518405001128,0.522473016664196,0.39004726935940076,0.5938116218057958,0.773904571140712,-0.18009294933491615,-0.04766720203012098,0.13242574730479523,5.551115123125783e-17
0.1,single_bernoulli,5,False,1.1176363264627602,1.1273865384658552,0.7381713020793752,0.41320485256779355,0.37946502438338503,0.7141816858980616,-0.3347166615146766,-0.009750212003095005,0.32496644951158166,5.551115123125783e-17
0.1,single_bernoulli,6,False,1.144417371926154,1.0776160364551293,0.5935778080630932,0.40996820022578984,0.5508395638630607,0.6676478362293394,-0.11680827236627878,0.06680133547102463,0.1836096078373034,0.0
