trial,col,block,family,intended_dominant_dim,f_1,f_2,f_3,f_norm,dominant_loading_abs,off_dim_norm,dominant_share_of_sq_norm,eta_min,eta_max,eta_mean,eta_var,x_mean,x_var,true_c_mean,true_t_col,true_t_dim1,true_t_dim2,true_t_dim3,z_corr_12,z_corr_13,z_corr_23,bernoulli_event_rate,poisson_mean,poisson_var,gaussian_var
4,6,pois,poisson,3,-0.30114583039084086,0.015582015576887846,0.9534507798668858,1.0,0.9534507798668858,0.3015486865685665,0.9090683896287725,-2.4107901970623384,2.148161031666099,5.551115123125783e-18,0.9840096160755643,1.5125,3.2748437499999996,1.5769336084617,1.5769336084617005,0.14301023423246176,0.0003828782334713055,1.4335404959957672,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,1.5125,3.2748437499999996,
4,7,pois,poisson,3,-0.1972043753128088,-0.10749284776075725,0.974451498042754,0.9999999999999999,0.974451498042754,0.22459803641668932,0.9495557220377675,-2.2974953783482923,2.0486440671831394,-2.2204460492503132e-17,1.0296532712168798,1.8375,4.43609375,1.5955172932036248,1.5955172932036246,0.06204897450781046,0.01843574332410198,1.5150325753717122,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,1.8375,4.43609375,
4,8,pois,poisson,3,-0.1005752532135966,-0.03489229032229316,0.9943174274431108,1.0,0.9943174274431108,0.10645587575570618,0.9886671465170856,-2.23404851427832,2.223525631130105,-2.2204460492503132e-17,1.0082355813553245,1.6375,3.5810937499999995,1.5906367479142902,1.5906367479142907,0.016089897626886656,0.0019365555817652288,1.5726102947056386,0.033674523115245235,0.018561699436697134,-0.16878577510352957,,1.6375,3.5810937499999995,
5,0,bern,bernoulli,1,0.9724232628520842,-0.11721947280343031,-0.20162488204532697,0.9999999999999999,0.9724232628520842,0.23322306460576775,0.9456070021358939,-2.643199580848213,2.2391105880086,4.4408920985006264e-17,1.014691037808054,0.45,0.24750000000000005,0.2043835936604223,0.20438359366042227,0.1932665572869926,0.0028083133122546555,0.008308723061175034,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,0.45,,,
5,1,bern,bernoulli,1,0.9976603479560565,-0.06695038740032243,-0.013837476039627511,1.0,0.9976603479560565,0.06836541608299099,0.9953261698837995,-2.438990238167137,2.0784820482255273,3.3306690738754695e-17,1.0174080573630497,0.475,0.24937499999999999,0.203582438384533,0.20358243838453305,0.20263092865288188,0.0009125286329697557,3.898109868141084e-05,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,0.475,,,
5,2,bern,bernoulli,1,0.905440214878029,0.33416364262290027,0.261749264049822,1.0,0.905440214878029,0.42447381224479414,0.8198219827183713,-2.1699531086153145,2.072792313955151,8.881784197001253e-17,0.9024339955370777,0.4,0.24000000000000005,0.20817626006762727,0.20817626006762727,0.17066747428353748,0.023246072870998138,0.014262712913091672,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,0.4,,,
5,3,gauss,gaussian,2,-0.016959366539351494,0.996834376584792,0.07767628689241689,1.0,0.996834376584792,0.079506135982131,0.9936787743411909,-2.10031349380446,2.4323320235471413,-8.326672684688674e-18,0.9815523217159887,-0.0007218403910997761,1.0394540748641758,11.111111111111112,11.111111111111112,0.00319577903795639,11.040875270457677,0.0670400616154784,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,,,,1.0394540748641758
5,4,gauss,gaussian,2,-0.5094407884585977,0.8577348776893453,0.06899972934676174,1.0,0.8577348776893453,0.5140922870411927,0.735709120404756,-2.1628064591815224,2.7804831175478184,-1.9428902930940238e-17,1.1007876732115012,-0.07827402817191645,1.2408852844283635,11.111111111111112,11.111111111111114,2.8836657438368642,8.17454578227507,0.05289958499918194,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,,,,1.2408852844283635
5,5,gauss,gaussian,2,0.328905662877325,0.906173535511672,-0.26583940352307445,1.0,0.906173535511672,0.42290604575753765,0.8211504764617235,-2.0503395685031083,2.4955654679764594,2.2204460492503132e-17,0.9854358631802291,0.07584935810138697,1.0440857865651108,11.111111111111112,11.111111111111112,1.2019881674752508,9.123894182908039,0.7852287607278223,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,,,,1.0440857865651108
5,6,pois,poisson,3,-0.005091014884940306,-0.08105351488619658,0.9966967489121425,1.0,0.9966967489121425,0.08121324219587389,0.9934044092920343,-2.1463241923952423,2.433822138049562,-1.1102230246251566e-17,1.0236659602022178,1.5875,7.917343750000001,1.676488722234255,1.6764887222342555,4.345195988262245e-05,0.01101398147849471,1.665431288795878,-0.13744116493949377,0.02451327349054488,-0.14871528680661036,,1.5875,7.917343750000001,
