r_true,r_true_tag,trial,data_seed,model_seed,y_var_mean_ratio_gen,y_mean_gen,y_zero_ratio_gen,fit_condition,family_y_fit,nb_r_fit,w0_est,w_est,bic_train,q_strict_train,nan_occurred,runtime_s,rmse_Z,rmse_F,w0_err,w_err,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,r_hat_train
2.0,2,3,51003,53030,7.0475528104144995,5.078585858585859,0.11333333333333333,nb_oracle,nb,2.0,1.495172951302404,0.2929709319308574,22946.354368550685,-11374.166025276598,False,9.23,0.4378487049340741,0.3257093516396883,0.0048270486975960925,0.007029068069142608,990,5.382403553501397,3.578092015625259,0.4957700159311411,0.3373507862848306,-2.63562219675052,4.56892011437603,3960,5.01725521226818,3.2387800354248317,0.5334242023667817,0.42389257264759994,-2.545685576639295,3.665363532021367,2.022055626769818
2.0,2,3,51003,53030,7.0475528104144995,5.078585858585859,0.11333333333333333,nb_moment,nb,2.022055626769818,1.4942252464261336,0.28951003558485,22955.4112158348,-11378.694448918655,False,9.02,0.44577217112145656,0.3088470639043171,0.005774753573866365,0.010489964415149988,990,5.647062027145036,3.6686578739476494,0.4161137086334729,0.3367666286916994,-2.6470701465082955,4.89468852159717,3960,4.816648544438106,3.2077792770694997,0.5837774932403901,0.4236289790979839,-2.544000438558908,3.5368088817261194,2.022055626769818
2.0,2,4,51004,53040,6.637908044754154,5.178787878787879,0.11171717171717171,poisson,poisson,,1.496345584754807,0.32147784118558487,26792.14439358012,-13299.363622884312,False,8.18,0.3557995003922754,0.273604489220953,0.0036544152451929435,0.02147784118558488,990,5.086863113865367,3.4552259974932427,0.4589491566746558,0.4133857151082488,-3.397420373972998,4.37322955760834,3960,4.322450652080159,3.1024645968161924,0.6815740160520791,0.4792553438711373,-3.0281464511752234,3.165884261485057,
2.0,2,4,51004,53040,6.637908044754154,5.178787878787879,0.11171717171717171,nb_oracle,nb,2.0,1.5151431788693581,0.30220046728477357,23074.0240254429,-11438.000853722706,False,8.7,0.44753516339350485,0.3195509241793242,0.01514317886935812,0.0022004672847735773,990,5.27448054906294,3.5904599112227156,0.39304484044340543,0.36838234212775733,-2.6586607930145507,4.9220232151223895,3960,4.834059842746899,3.2624624418657344,0.575279911078764,0.4529610216459344,-2.5641165876256125,3.481311868446889,2.1013787349077133
2.0,2,4,51004,53040,6.637908044754154,5.178787878787879,0.11171717171717171,nb_moment,nb,2.1013787349077133,1.5131731676486848,0.3031216492787018,23058.06859739704,-11430.023139699775,False,8.8,0.4130000834692287,0.3105669246802418,0.013173167648684814,0.003121649278701788,990,5.236060028324616,3.522395243030058,0.41364423074216955,0.400359259575263,-2.6322446743123624,4.509016323432068,3960,4.615031357236445,3.222028565952997,0.6244377660462402,0.45477476341216155,-2.5606951714535295,3.4137586759357794,2.1013787349077133
5.0,5,0,51000,53000,4.148728275072044,5.13030303030303,0.06202020202020202,poisson,poisson,,1.5139349101651576,0.3013421411422052,22992.650478049345,-11399.616665118923,False,8.4,0.2930989915381856,0.26735247502927195,0.013934910165157577,0.001342141142205211,990,3.654301560943056,2.6134978777085704,0.6053440141562288,0.4988697388665169,-2.678202198886224,2.2891457678080145,3960,3.3144337464456037,2.465921586135646,0.6973257527462745,0.5616718622349789,-2.5509055970646086,1.9327090571571321,
5.0,5,0,51000,53000,4.148728275072044,5.13030303030303,0.06202020202020202,nb_oracle,nb,5.0,1.5244751304709951,0.29189729865920444,22056.031613672527,-10929.004647837519,False,8.64,0.3363990051925928,0.2813340391674596,0.024475130470995143,0.008102701340795548,990,3.678221095267963,2.608702153840663,0.5962151773529721,0.4978523881320728,-2.4332704995733643,2.219985939854644,3960,3.5033083912322796,2.5421511453370713,0.6524610701207494,0.5488637915480746,-2.430402783304985,2.0553559021691097,5.0706406066557035
5.0,5,0,51000,53000,4.148728275072044,5.13030303030303,0.06202020202020202,nb_moment,nb,5.0706406066557035,1.5252197074917453,0.2907532658679463,22063.62360116201,-10932.80064158226,False,8.6,0.3369070582229746,0.2809999082469786,0.02521970749174529,0.00924673413205368,990,3.5408117062188516,2.5737747643543636,0.6352801890092827,0.5102380121314403,-2.419511490480955,2.124453545290511,3960,3.5277329571840563,2.5541317984108503,0.6461934388317612,0.5463763710758749,-2.431718336099772,2.069004676367264,5.0706406066557035
5.0,5,1,51001,53010,4.378649475524476,5.042424242424242,0.06262626262626263,poisson,poisson,,1.4837482502179862,0.3090440264146755,22767.51210237663,-11287.047477282566,False,8.14,0.317863077125843,0.25462506232044274,0.016251749782013825,0.009044026414675499,990,3.5344317788560056,2.5986406135168263,0.6123753907096934,0.5194537084960308,-2.6665409528619928,2.30023949552006,3960,3.270204902034702,2.398860036365861,0.7272933874255328,0.5695325316845894,-2.520408612770163,1.9513484413937023,
5.0,5,1,51001,53010,4.378649475524476,5.042424242424242,0.06262626262626263,nb_oracle,nb,5.0,1.4902277493657163,0.29814197063156067,21812.9085523164,-10807.443117159455,False,8.69,0.3584472993390555,0.26393418196995466,0.009772250634283663,0.0018580293684393179,990,3.5537919179807704,2.590832507399978,0.5985318798127183,0.5178635838295945,-2.4568366971701825,2.3427519636903855,3960,3.513381576667188,2.4914864840780138,0.6757432264670897,0.5610534836221639,-2.400066943862903,2.073002284480562,4.78821269563317
