rmse_Z,rmse_F,rmse_Y,rmse_X,w0_err,w_err,model_fx,model_fy,fix_w,fix_x,condition,trial
0.3759176529731211,0.06574555357014464,522.5294935988294,1.2449087381122077,0.33869768695595504,1.065177010673445,poisson,poisson,False,False,"X=Poisson, Y=Poisson",8
0.38731763885357645,0.0924957552293227,580.7717859560469,1.1887621810715114,0.3132342361870317,1.0719732070726071,poisson,poisson,False,False,"X=Poisson, Y=Poisson",9
0.33012327934809543,0.5477225575051662,0.1349316616264921,2.3318090259138575,0.04645605002725628,0.15377472898861022,poisson,bernoulli,False,True,Y-only (fix_x=True),0
0.34838521990502525,0.547722557505166,0.14972773542297152,2.2155009466133038,0.10099453806757552,0.2440685210651823,poisson,bernoulli,False,True,Y-only (fix_x=True),1
0.36204983283778513,0.5477225575051661,0.1411183053060711,2.3213023164690214,0.04868371917501124,0.24764281405563793,poisson,bernoulli,False,True,Y-only (fix_x=True),2
0.3398723487263806,0.5477225575051661,0.1404912542135373,2.2401388845833248,0.046959163392602976,0.15278900900453674,poisson,bernoulli,False,True,Y-only (fix_x=True),3
0.3383757677548166,0.5477225575051661,0.137187295554297,2.1039645117412666,0.005813380710415816,0.15440881672949214,poisson,bernoulli,False,True,Y-only (fix_x=True),4
0.3583898722527888,0.5477225575051661,0.14422751239052758,2.2476654555338076,0.05021936921936976,0.22026499785287634,poisson,bernoulli,False,True,Y-only (fix_x=True),5
0.3331242783636505,0.5477225575051661,0.1417544333358458,2.122681741990018,0.03146896894111306,0.1904870434159629,poisson,bernoulli,False,True,Y-only (fix_x=True),6
0.334388139225476,0.5477225575051661,0.1358869340075027,2.099312056629769,0.060683337104964874,0.25792481071710527,poisson,bernoulli,False,True,Y-only (fix_x=True),7
0.3544651255643178,0.5477225575051661,0.14413428178676568,2.223610677354389,0.03510772008671914,0.19651025572805625,poisson,bernoulli,False,True,Y-only (fix_x=True),8
0.3776723984615865,0.5477225575051661,0.14554891858373945,2.1965629717558497,0.000508411676711118,0.22515753338644484,poisson,bernoulli,False,True,Y-only (fix_x=True),9
0.5275385827360107,0.08295670047562331,0.3213581100742454,1.226820239928926,0.43633176733541934,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),0
0.5418208906516745,0.07867262528099571,0.31557527786870804,1.2173768716522972,0.4386464159094787,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),1
0.6171383436628624,0.08225133008218607,0.30193556226964197,1.225726704205008,0.382991949363473,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),2
0.5019778205866885,0.07204098574492984,0.3220194971492357,1.1976234828623276,0.43208380756193443,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),3
0.606057322599911,0.07583653183019307,0.32460503915580013,1.2050710911133353,0.41697587037618367,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),4
0.618354779658311,0.08849181311418755,0.3081515320375185,1.2501152198469878,0.39827910951942425,1.5,poisson,bernoulli,True,False,X-only (fix_w=True),5
