family,k_est,k_true,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
poisson,3,3,6,9238,0.15973840419912205,0.029862957831150984,0.016743503692485215,0.7730749366433963,0.30608705805315695,0.03956052820596984,0.003023299691430781,-16016.411455911944,-1095.5043911135676,False,32318.429123587375,13.194075345993042
poisson,3,3,7,9261,0.17864723935865623,0.05258364610952048,0.021067920571670704,0.6686909782557212,0.31220279955485397,0.0864154867105556,0.04306012541791915,-16150.95122889127,-3409.292644487591,False,32587.508669546027,13.038285255432129
poisson,3,3,8,9284,0.1460389932994365,0.032573679108851256,0.012085683437694875,0.6101640236618906,0.31492700571237275,0.0066290153886353256,0.004498661914775437,-16083.080689559118,-1835.4219374210443,False,32451.767590881722,13.047609567642212
poisson,3,3,9,9307,0.4347198199800724,0.8424213753415767,0.01686572031869034,1.4997110703296355,0.3051692587359166,0.10815647801221863,0.12608893530590543,-17110.884683327626,9476.093063188271,False,34507.37557841874,12.925645589828491
poisson,4,3,0,9100,0.5845978182463302,0.27120845804261967,0.014156383440642349,0.5714186610041406,0.3132792074897569,0.054997946378194225,0.11542556145357585,-16322.084190573185,-3246.9479736483627,False,32989.90221643901,13.122573852539062
poisson,4,3,1,9123,0.2688100422624859,0.08629424719738359,0.017609306215992507,0.6313807079105741,0.30604581580592866,0.017251803344614014,0.10410409946535748,-16235.94611951037,-3411.9802730204196,False,32817.62607431338,12.977540016174316
poisson,4,3,2,9146,0.45592169965723506,0.3244941759818035,0.014489359208799889,0.6169128069978734,0.3037340407622066,0.030547396302944636,0.11460571044113815,-16189.97751268786,-2610.5080016834518,False,32725.68886066836,12.953298091888428
poisson,4,3,3,9169,0.45440629881967626,0.19027120241269213,0.021935445134947315,0.5831186732161467,0.2930627256855601,0.012327082265878217,0.10814371500089448,-16098.973319612305,-4067.035878890606,False,32543.680474517252,13.363329410552979
poisson,4,3,4,9192,0.5176505272479395,0.23027848358508074,0.019794848496807977,0.8427578720914838,0.2982711121416755,0.030006189030533665,0.11465660560887658,-16119.107036811525,-1803.7879825126606,False,32583.947908915692,12.735601663589478
poisson,4,3,5,9215,0.5510305822324623,0.23508474835201779,0.01851558375209667,0.6158848885510047,0.3038760794592295,0.030666338984621993,0.11402994658858118,-16229.170890882888,-3403.3407125524272,False,32804.07561705841,12.636856079101562
