family,condition,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,w_est,nan_occurred,BIC,elapsed_s
gaussian,proposed,4,9664,0.029578837668705414,0.029841501421746068,0.011695449478073515,0.036156653210820636,0.31157409882439363,0.001415825060536646,0.0003876387458667807,18641.52541063242,0.4996123612541332,False,-36997.444609501355,12.493041038513184
gaussian,proposed,5,9705,0.02960412989917525,0.01841424489272864,0.013407665199835748,0.03610533058484508,0.30347167748575,0.0005825262392551618,0.00010065928502989152,18771.355799240813,0.5001006592850299,False,-37257.10538671814,12.487093687057495
gaussian,proposed,6,9746,0.02880482843008982,0.04943003862359498,0.027390654579771818,0.034525090375954026,0.3210214196701254,9.347334570660126e-05,0.0011605553455254491,18770.85331396173,0.49883944465447455,False,-37256.10041615997,12.511384010314941
gaussian,proposed,7,9787,0.029573145541714984,0.03023811691447353,0.008416363912247728,0.03606937656494401,0.31446532334685673,0.00022633139199869845,0.0009102055012435439,18796.260853041575,0.5009102055012435,False,-37306.91549431966,12.593579530715942
gaussian,proposed,8,9828,0.027813260218095655,0.027640418501154285,0.015563675992669328,0.03355347600318307,0.3173814414150143,0.00044477000694661205,0.00013429100277634332,18806.790940963834,0.49986570899722366,False,-37327.97567016418,12.513701915740967
gaussian,proposed,9,9869,0.02847266131129576,0.02320235016439818,0.013172689977879664,0.034728118178037864,0.30411736957747515,7.745197194008053e-05,0.0004132374646793613,18800.06403356886,0.49958676253532064,False,-37314.52185537423,12.602545738220215
gaussian,ablation,0,9500,0.32096331367370146,0.16462462761240484,0.019740292499601134,0.8603972506264467,0.3305356383094761,0.010067257527231623,0.5,-5294.035570178974,0.0,False,10873.677352121435,14.347770929336548
gaussian,ablation,1,9541,0.262301416850217,0.05639253831868747,0.014772805772885044,0.8694890871713844,0.3097371693389033,0.011376042504140779,0.5,-5281.395744972948,0.0,False,10848.397701709382,15.398190021514893
gaussian,ablation,2,9582,0.23218308219478734,0.05008300206903691,0.01448604771911162,0.8576671166023158,0.3110454541911344,0.01228507722219106,0.5,-5159.7733561100595,0.0,False,10605.152923983605,14.83267879486084
gaussian,ablation,3,9623,0.2153690606010266,0.06488604816152166,0.020479536978596207,0.8564747055332854,0.2979028096661545,0.011285359254332859,0.5,-5014.889414600442,0.0,False,10315.385040964371,13.796621561050415
gaussian,ablation,4,9664,0.24775840416331846,0.07401703189315122,0.01861089275453729,0.8574198027831841,0.31091258085709644,0.011019794671025554,0.5,-5122.083231748349,0.0,False,10529.772675260185,13.870685815811157
gaussian,ablation,5,9705,0.2100239313286941,0.03821822364067735,0.015885212106254175,0.8552046990356004,0.30918236153396095,0.010498284899990717,0.5,-5071.115625344875,0.0,False,10427.837462453237,13.749416589736938
gaussian,ablation,6,9746,0.24843597549960406,0.09196188374853333,0.029279743669473227,0.8771046415972891,0.3192558675520447,0.009798368738503769,0.5,-5433.791127260393,0.0,False,11153.188466284273,14.272301435470581
gaussian,ablation,7,9787,0.2628844316559729,0.08355914565470517,0.014459636308634097,0.8566130355318133,0.31759700822722314,0.009902755694619918,0.5,-5171.943823765239,0.0,False,10629.493859293965,13.847442626953125
gaussian,ablation,8,9828,0.24490544970891842,0.05328563023889546,0.01795755530757755,0.8604096994290282,0.3146656770409815,0.009631451946427002,0.5,-5203.797883470184,0.0,False,10693.201978703855,13.850363492965698
gaussian,ablation,9,9869,0.24020007155833428,0.050393639409249215,0.015266051729283433,0.8567383512763199,0.30370739895810056,0.009962468913402725,0.5,-5077.831447317239,0.0,False,10441.269106397964,13.95270299911499
