scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
B,6,5600,5650,4,3,gaussian,poisson,150,15,-16092.30109949365,32530.336034279942,69,0.4375064807595019,0.3040827678771189,0.6772010369642599,True,,fixed_official full k_true=3
B,7,5700,5750,4,3,gaussian,poisson,150,15,-16175.411332810538,32696.556500913717,69,0.22390315424257057,0.31143780366667895,0.5381116330554232,True,,fixed_official full k_true=3
B,8,5800,5850,4,3,gaussian,poisson,150,15,-16140.410019960005,32626.553875212652,69,0.38597339620446436,0.30530741402731465,0.5275285103646771,True,,fixed_official full k_true=3
B,9,5900,5950,4,3,gaussian,poisson,150,15,-16189.545232285858,32724.82429986436,69,0.29223381889146477,0.30293356713886893,0.4955848967732308,True,,fixed_official full k_true=3
B,0,5000,5050,5,3,gaussian,poisson,150,15,-16215.788349383198,32832.42752229409,80,0.7116407728059375,0.30096557788200745,0.6024385355071963,True,,fixed_official full k_true=3
B,1,5100,5150,5,3,gaussian,poisson,150,15,-16331.746864535535,33064.34455259877,80,0.7411939696073057,0.30852483858033786,0.5417106297543461,True,,fixed_official full k_true=3
B,2,5200,5250,5,3,gaussian,poisson,150,15,-16133.534307755126,32667.919439037953,80,0.46638749714982125,0.3146586556814982,0.5343390627360781,True,,fixed_official full k_true=3
B,3,5300,5350,5,3,gaussian,poisson,150,15,-16147.465407429829,32695.781638387358,80,0.7072998321844525,0.305972218384561,0.7382559481772413,True,,fixed_official full k_true=3
B,4,5400,5450,5,3,gaussian,poisson,150,15,-16153.498224739187,32707.847273006075,80,0.3341269703707514,0.30724111033500123,0.569743202176958,True,,fixed_official full k_true=3
B,5,5500,5550,5,3,gaussian,poisson,150,15,-16199.416027633572,32799.68287879485,80,0.6890245203467499,0.2990314203840681,0.5592736416155306,True,,fixed_official full k_true=3
B,6,5600,5650,5,3,gaussian,poisson,150,15,-16217.329323837814,32835.50947120333,80,0.6022879224807903,0.3000110928711523,0.6522830208489689,True,,fixed_official full k_true=3
B,7,5700,5750,5,3,gaussian,poisson,150,15,-16315.985618316225,33032.82206016015,80,0.37346738011783953,0.3109779812452547,0.5958483985852805,True,,fixed_official full k_true=3
B,8,5800,5850,5,3,gaussian,poisson,150,15,-16275.090490516375,32951.03180456045,80,0.6580379970556353,0.3044841542813895,0.5375566406029039,True,,fixed_official full k_true=3
B,9,5900,5950,5,3,gaussian,poisson,150,15,-16307.78570012222,33016.42222377214,80,0.4307051740274275,0.3014964740583144,0.5785795676868827,True,,fixed_official full k_true=3
B,0,5000,5050,6,3,gaussian,poisson,150,15,-16354.799264660916,33160.555705790495,90,0.666963111473482,0.2972834309168644,0.5640106509004256,True,,fixed_official full k_true=3
B,1,5100,5150,6,3,gaussian,poisson,150,15,-16474.59369890789,33400.144574284444,90,0.6635232391326793,0.30491757393881597,0.5930949480280606,True,,fixed_official full k_true=3
B,2,5200,5250,6,3,gaussian,poisson,150,15,-16295.298924980472,33041.55502642961,90,0.6277994346437149,0.3169395856896423,0.5668254461451353,True,,fixed_official full k_true=3
B,3,5300,5350,6,3,gaussian,poisson,150,15,-16298.091050775067,33047.139278018796,90,0.6522203053399979,0.2986957184472668,0.6419583391723849,True,,fixed_official full k_true=3
B,4,5400,5450,6,3,gaussian,poisson,150,15,-16292.523908903086,33036.00499427484,90,0.7099947761381169,0.30186371728784306,0.6083759779052879,True,,fixed_official full k_true=3
B,5,5500,5550,6,3,gaussian,poisson,150,15,-16355.370828158608,33161.69883278588,90,0.45876522220506116,0.3006366374181939,0.588605760299328,True,,fixed_official full k_true=3
B,6,5600,5650,6,3,gaussian,poisson,150,15,-16374.3703321601,33199.69784078887,90,0.6651936048592455,0.3003924376246919,0.7350761031331222,True,,fixed_official full k_true=3
B,7,5700,5750,6,3,gaussian,poisson,150,15,-16468.11484326749,33387.18686300364,90,0.6111245410964657,0.3073779392235025,0.5853524857794598,True,,fixed_official full k_true=3
B,8,5800,5850,6,3,gaussian,poisson,150,15,-16412.5678903495,33276.09295716766,90,0.4317544245330442,0.30301854846732296,0.6119553851764786,True,,fixed_official full k_true=3
B,9,5900,5950,6,3,gaussian,poisson,150,15,-16456.29710379959,33363.55138406784,90,0.7087594539166132,0.29417333051403044,0.6023358331694367,True,,fixed_official full k_true=3
C,0,6000,6050,1,3,bernoulli,gaussian,150,15,-3134.503050408699,6349.176265522938,16,0.6070040482278218,0.4775452876397093,0.6855931446326314,True,,fixed_official full k_true=3
C,1,6100,6150,1,3,bernoulli,gaussian,150,15,-3220.819837838754,6521.809840383048,16,1.3172144102973833,0.4836282062185757,0.6876397114727638,True,,fixed_official full k_true=3
C,2,6200,6250,1,3,bernoulli,gaussian,150,15,-3111.173075267212,6302.516315239964,16,0.8607639163348886,0.48244313282827667,0.6812763022852223,True,,fixed_official full k_true=3
C,3,6300,6350,1,3,bernoulli,gaussian,150,15,-2564.6339908550226,5209.438146415585,16,0.9183448829263154,0.4814342991463632,0.64722919951756,True,,fixed_official full k_true=3
C,4,6400,6450,1,3,bernoulli,gaussian,150,15,-3085.5643718183833,6251.298908342306,16,0.7950908428196612,0.47809118093709335,0.6817331388778559,True,,fixed_official full k_true=3
C,5,6500,6550,1,3,bernoulli,gaussian,150,15,-3011.261208080173,6102.692580865886,16,1.3829662004409216,0.4772017917002618,0.6769765461410405,True,,fixed_official full k_true=3
C,6,6600,6650,1,3,bernoulli,gaussian,150,15,-3290.0909877563,6660.3521402181395,16,0.9836150056190033,0.48029069556489273,0.69485336344879,True,,fixed_official full k_true=3
C,7,6700,6750,1,3,bernoulli,gaussian,150,15,-2974.6227293802885,6029.415623466117,16,0.7689632251041804,0.4860242590194261,0.6731474787598611,True,,fixed_official full k_true=3
C,8,6800,6850,1,3,bernoulli,gaussian,150,15,-3069.978026917439,6220.1262185404175,16,1.032619302176952,0.48120222899193693,0.6797319962334512,True,,fixed_official full k_true=3
C,9,6900,6950,1,3,bernoulli,gaussian,150,15,-2811.1349440585827,5702.440052822705,16,1.1290763065341034,0.4847919410488449,0.6619269744208348,True,,fixed_official full k_true=3
C,0,6000,6050,2,3,bernoulli,gaussian,150,15,1437.0059649139603,-2723.692871005033,30,0.6098313400329315,0.46162520744985736,0.4430987578186475,True,,fixed_official full k_true=3
C,1,6100,6150,2,3,bernoulli,gaussian,150,15,589.7741416262721,-1029.2292244296566,30,0.5492448339296221,0.4684509875325368,0.47773122461303885,True,,fixed_official full k_true=3
C,2,6200,6250,2,3,bernoulli,gaussian,150,15,1015.5259999379754,-1880.732941053063,30,0.6220632026333018,0.47336356371295996,0.4587201880904984,True,,fixed_official full k_true=3
C,3,6300,6350,2,3,bernoulli,gaussian,150,15,1422.6004322329675,-2694.8818056430473,30,0.47200831447566566,0.4631736430286786,0.44336223508972933,True,,fixed_official full k_true=3
C,4,6400,6450,2,3,bernoulli,gaussian,150,15,662.0247811959265,-1173.7305035689653,30,0.5948322897597216,0.45943230321901224,0.4769847268280291,True,,fixed_official full k_true=3
C,5,6500,6550,2,3,bernoulli,gaussian,150,15,1225.2408405524616,-2300.1626222820355,30,0.5729233260855402,0.4663487093375493,0.4514172449581064,True,,fixed_official full k_true=3
C,6,6600,6650,2,3,bernoulli,gaussian,150,15,735.4804973605904,-1320.6419358982932,30,0.6999215314483542,0.4601352386535634,0.47446724697257164,True,,fixed_official full k_true=3
C,7,6700,6750,2,3,bernoulli,gaussian,150,15,1132.5944290511895,-2114.8697992794914,30,0.5263239651234388,0.46759920041663816,0.4549880830005952,True,,fixed_official full k_true=3
C,8,6800,6850,2,3,bernoulli,gaussian,150,15,954.8431852378778,-1759.367311652868,30,0.5125165319711852,0.46415076779682063,0.4632125232243307,True,,fixed_official full k_true=3
C,9,6900,6950,2,3,bernoulli,gaussian,150,15,1413.1385319695194,-2675.958005116151,30,0.510175859291783,0.46502185666958756,0.44395508588675087,True,,fixed_official full k_true=3
C,0,6000,6050,3,3,bernoulli,gaussian,150,15,18131.48082614282,-36047.504334639496,43,0.022215114078493123,0.45031269048351236,0.027045091803594188,True,,fixed_official full k_true=3
C,1,6100,6150,3,3,bernoulli,gaussian,150,15,18347.26682010141,-36479.07632255668,43,0.02287046240997612,0.4518994868478547,0.02803109567184249,True,,fixed_official full k_true=3
C,2,6200,6250,3,3,bernoulli,gaussian,150,15,18266.639264935762,-36317.82121222538,43,0.021775928593659153,0.45718440837620333,0.026587390403676244,True,,fixed_official full k_true=3
C,3,6300,6350,3,3,bernoulli,gaussian,150,15,18104.15609965988,-35992.854881673615,43,0.024120960653197625,0.4512098410276438,0.02936719219983841,True,,fixed_official full k_true=3
C,4,6400,6450,3,3,bernoulli,gaussian,150,15,18340.352334595034,-36465.24735154393,43,0.022901396134197026,0.44863523083006185,0.02799640079729803,True,,fixed_official full k_true=3
C,5,6500,6550,3,3,bernoulli,gaussian,150,15,18186.726075452832,-36157.99483325952,43,0.02289377120529944,0.45358812719294056,0.028050198873888824,True,,fixed_official full k_true=3
C,6,6600,6650,3,3,bernoulli,gaussian,150,15,18081.508342549765,-35947.55936745339,43,0.02400288343866908,0.4471865133145342,0.02933573729950855,True,,fixed_official full k_true=3
C,7,6700,6750,3,3,bernoulli,gaussian,150,15,18320.34408082442,-36425.2308440027,43,0.023403269562106692,0.4510567438270111,0.02844260351707443,True,,fixed_official full k_true=3
C,8,6800,6850,3,3,bernoulli,gaussian,150,15,18275.775658063816,-36336.09399848149,43,0.02428238469454403,0.45202880689788566,0.029634859313506658,True,,fixed_official full k_true=3
C,9,6900,6950,3,3,bernoulli,gaussian,150,15,18164.966027038863,-36114.474736431584,43,0.02345707756700179,0.4458935648247378,0.028602288056068674,True,,fixed_official full k_true=3
C,0,6000,6050,4,3,bernoulli,gaussian,150,15,18004.79549466291,-35734.00604815053,55,0.34131728435977454,0.44830607099266867,0.031308374812266886,True,,fixed_official full k_true=3
C,1,6100,6150,4,3,bernoulli,gaussian,150,15,18218.39050188943,-36161.196062603565,55,0.4757150569514304,0.44973949896399246,0.03173164117673988,True,,fixed_official full k_true=3
C,2,6200,6250,4,3,bernoulli,gaussian,150,15,18119.76911338286,-35963.953285590425,55,0.13919007461249502,0.45397457034706645,0.03224266043958519,True,,fixed_official full k_true=3
