scenario,k_true,k_est,trial,rmse_Z,BIC
C,9,1,3,1.332034715726904,21586.139213670147
C,9,1,4,1.0125064912375974,21461.566370107106
C,9,2,0,1.0725651325240089,19532.39703743655
C,9,2,1,0.7778728453604705,19992.280695693207
C,9,2,2,1.1139567997117443,18859.965393802508
C,9,2,3,0.9986102419558746,19989.735624164186
C,9,2,4,0.903629993798981,19548.20020982336
C,9,3,0,0.8785513745030993,17688.64891596517
C,9,3,1,0.8986003227928672,17997.754090972467
C,9,3,2,0.877724295985218,16566.84098038062
C,9,3,3,0.9559317956024497,18307.492975471563
C,9,3,4,0.842888053533543,17615.569895297445
C,9,4,0,0.7765433223250988,15527.953665719113
C,9,4,1,0.8713314274810134,15850.194509708537
C,9,4,2,0.7940227850261168,14180.968090112463
C,9,4,3,0.9266362054032076,16219.86634441608
C,9,4,4,0.843277166481443,15277.685046818828
C,9,5,0,0.7606469671451194,12947.682920015544
C,9,5,1,0.8017756838925011,12723.660234053581
C,9,5,2,0.7006420038124219,11197.687188541695
C,9,5,3,0.8036692115784999,13796.458635744177
C,9,5,4,0.7309630871433347,12432.871684691043
C,9,6,0,0.664233727514455,8985.515342768833
C,9,6,1,0.5968547613879939,8623.583458695759
C,9,6,2,0.5891782840937344,6876.106875637251
C,9,6,3,0.6408117262175522,10180.653733425224
C,9,6,4,0.6462436107504769,8920.278941608884
C,9,7,0,0.43957234976458526,3421.1328105219595
C,9,7,1,0.4817945559166786,3670.68180807898
C,9,7,2,0.5268824193758895,2771.1574042014795
C,9,7,3,0.519211308830936,5105.285771196025
C,9,7,4,0.5529836914997367,3434.994375851985
C,9,8,0,0.37970350807660236,-5181.737027520361
C,9,8,1,0.3668967444624923,-5312.567353851517
C,9,8,2,0.28112233475450993,-4868.275157843063
C,9,8,3,0.3607429369673728,-3455.2991879109645
C,9,8,4,0.2727935089049245,-4854.1143462076125
C,9,9,0,0.0290375660459443,-32000.5521038344
C,9,9,1,0.029722620586420074,-32015.17784544502
C,9,9,2,0.0308585192168628,-31757.429159966614
C,9,9,3,0.02971497091917055,-31567.8060578932
C,9,9,4,0.030281438235392567,-32018.21509178235
C,9,10,0,0.26254188212794,-31476.094431984595
C,9,10,1,0.3119018635874335,-31445.77807423696
C,9,10,2,0.314821708810474,-31232.342250503705
C,9,10,3,0.3066482591801687,-31110.29452177196
C,9,10,4,0.21691715070435533,-31521.055763410448
