scenario,k_true,k_est,trial,rmse_Z,BIC
B,3,1,4,0.7099389763447105,43399.02262713229
B,3,2,0,0.785236066285773,37892.641580635514
B,3,2,1,0.7484141830279464,38720.926199078545
B,3,2,2,0.19090151067176508,38506.8463719593
B,3,2,3,0.7486740846118831,37706.684598856125
B,3,2,4,0.6487844964162817,36583.6176625378
B,3,3,0,0.1565841323431693,32470.932526597408
B,3,3,1,0.15807699779778833,32452.046548327715
B,3,3,2,0.15860189206622646,32297.109741932625
B,3,3,3,0.15416949884290898,32183.829621700454
B,3,3,4,0.16067191742531356,32538.823072699368
B,3,4,0,0.22525777112044074,32937.1377267564
B,3,4,1,0.4188063707407459,32856.00484965729
B,3,4,2,0.49154967627824103,32737.205245804715
B,3,4,3,0.2834732180808677,32554.509032688467
B,3,4,4,0.2586373126328956,33018.99264781386
B,3,5,0,0.4610218367063142,33363.06724314754
B,3,5,1,0.5571591416052225,33351.16174807779
B,3,5,2,0.6657982992044079,33085.92407632648
B,3,5,3,0.4954753143201938,33001.93342090856
B,3,5,4,0.4187545661266362,33437.782169737824
B,3,6,0,0.5491843488706228,33824.647230458955
B,3,6,1,0.6375316357277311,33739.98108666125
B,3,6,2,0.5384345262432331,33544.53784229363
B,3,6,3,0.741692438343227,33300.415824232354
B,3,6,4,0.6902061820218539,33811.11916652495
B,3,7,0,0.5489596146287463,34316.76895623719
B,3,7,1,0.7343951110241062,34133.857194260585
B,3,7,2,0.727006240943121,33958.30976111041
B,3,7,3,0.7824166255689406,33780.32041438206
B,3,7,4,0.7568254334545822,34216.7842075382
B,3,8,0,0.6678106320469072,34693.993265069
B,3,8,1,0.8850774215286024,34548.36878397193
B,3,8,2,0.6550607619697302,34294.01121732822
B,3,8,3,0.7433306902797058,34181.58907658339
B,3,8,4,0.7150040926806955,34802.614506268066
B,3,9,0,0.6792921758259891,35072.28409173101
B,3,9,1,0.8047537735297071,35008.01642363331
B,3,9,2,0.5996380857312829,34867.369022160536
