scenario,k_true,k_est,trial,rmse_Z,BIC
A,1,9,4,0.8797955449415402,21622.850153384014
A,1,10,0,0.8410628147828892,22407.12173847464
A,1,10,1,0.8752341194628687,22067.10644842101
A,1,10,2,0.9069376421002947,22279.495859200637
A,1,10,3,0.8789224470444276,21866.64337477214
A,1,10,4,1.0937291921595895,22048.663599696876
A,3,1,0,0.49930670448122794,21554.37791198289
A,3,1,1,1.4035121366989607,21326.82986521978
A,3,1,2,0.45069694866607074,21234.55458541442
A,3,1,3,0.6149525734730831,21812.126221437327
A,3,1,4,0.6745735705348714,20946.06373166709
A,3,2,0,0.6510325394024541,18835.909959325898
A,3,2,1,0.9046193885599854,18872.615424651587
A,3,2,2,0.29459327873564617,19253.73808062936
A,3,2,3,0.7554747138240012,18752.85435244636
A,3,2,4,0.7159854744847245,18450.513214972907
A,3,3,0,0.2741360614654058,17034.26329019735
A,3,3,1,0.2866116358390189,16900.526690075643
A,3,3,2,0.2775573702952085,16879.852453042593
A,3,3,3,0.2739854486035651,16660.73112481544
A,3,3,4,0.27816404499040415,16900.59935729207
A,3,4,0,0.39264459877054536,17508.573704403625
A,3,4,1,0.6925679425874928,17286.754597751395
A,3,4,2,0.4510924331012396,17397.193788821816
A,3,4,3,0.48419176499268646,17193.15439562513
A,3,4,4,0.3540778367139355,17400.769469201816
A,3,5,0,0.684718813775786,18025.337650529236
A,3,5,1,0.676485560748459,17880.166285240095
A,3,5,2,0.5926919707071056,17792.49293228865
A,3,5,3,0.49824602934133466,17700.132921999877
A,3,5,4,0.7468446721398211,17824.924934105715
A,3,6,0,0.8205928852402306,18461.899328692678
A,3,6,1,0.7783238553591424,18361.456887254106
A,3,6,2,0.7377811140965891,18359.446516874043
A,3,6,3,0.7056924572642284,18112.285769937305
A,3,6,4,0.6984988755882953,18325.16477979371
A,3,7,0,0.7620199705560923,19059.557788692557
A,3,7,1,0.7766902627547546,18859.992995082404
A,3,7,2,0.7629600797789278,18850.13634200303
A,3,7,3,0.8047083064792161,18646.86562504176
A,3,7,4,0.716168771628529,18765.27548033898
A,3,8,0,0.7476939898126855,19536.606052797295
A,3,8,1,0.7975895932795394,19284.6426955803
A,3,8,2,0.8967090992484379,19337.816607281216
