movie_i,title_i,movie_j,title_j,factor,z_i_factor,z_j_factor,factor_contribution,absolute_contribution_rank,tentative_factor_label
479,Vertigo (1958),511,Lawrence of Arabia (1962),4,1.6028187693533595,1.1150454493080777,0.3442834168828783,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),5,1.591190455074848,1.7450154717212483,0.5348851764999011,2,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),6,-0.2974596084771441,-0.2894841946733987,0.01658792161289263,8,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
479,Vertigo (1958),511,Lawrence of Arabia (1962),7,1.0419955396528928,1.0182001818017001,0.20437988272859337,5,"tentative: unclear/mixed (negatively associated with release_year, r=-0.40)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),0,0.8261128440460163,0.21997769721066188,0.03500718110203788,6,"tentative: popularity-related (positively associated with like_count, r=0.35)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),1,0.3251483152863348,-0.1728213084051428,-0.010824750930434784,8,"tentative: romance/drama-related (negatively associated with genre_Comedy, r=-0.42)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),2,1.9047794702409513,1.3056041182331148,0.47906597669431555,3,"tentative: unclear/mixed (negatively associated with release_year, r=-0.52)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),3,1.8707692539362155,2.2353192753546907,0.8055618715181508,1,"tentative: popularity-related (positively associated with log_like_count, r=0.55)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),4,1.3726208946115608,1.1150454493080777,0.29483720849635114,4,"tentative: popularity-related (positively associated with log_like_count, r=0.75)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),5,1.4578366543546004,1.7450154717212483,0.49005775121734624,2,"tentative: high-rating-related (positively associated with high_rating_rate, r=0.78)"
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),511,Lawrence of Arabia (1962),6,-0.45027100749106214,-0.2894841946733987,0.025109493739530114,7,"tentative: unclear/mixed (positively associated with release_year, r=0.47)"
