scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type,status
A_Pois_Bern,dual_expfam,poisson,bernoulli,5,3,2,150,15,0.8721019873224509,0.44058319798686274,0.1421193905782376,1.1897455731964466,0.9000000000000001,0.043450396709688754,0.5933741348353754,17651.769139769003,-8663.038922826374,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,5,3,2,150,15,0.7012954764617375,1.0811313632006976,0.14291269804744833,1.411354763486533,1.9625149925651064,0.35012038527618095,0.5413700207652302,19915.820461087216,-9757.484818779758,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,5,3,3,150,15,0.7246203087009921,0.29365437946484263,0.13906730830026445,1.1757480756029723,0.9000000000000001,0.05089941973152312,0.6048633430593792,17882.206357265433,-8778.257531574589,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,5,3,3,150,15,0.869518729006005,1.400758316531193,0.14102066177784245,1.360687525175404,1.8638865433914924,0.3516281972496207,0.2997319849549691,19976.978337015145,-9788.063756743722,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,5,3,4,150,15,0.7229622809963291,0.37828450055472634,0.14840405969576323,1.223289961983528,0.9000000000000001,0.044790546937653164,0.6042548816747728,18088.794113049666,-8881.551409466705,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,5,3,4,150,15,0.7790013562281974,0.9698739820647047,0.14432628074375864,1.4739277858870903,2.1538101985471796,0.34217608177721726,0.496817202278212,20327.62890967701,-9963.389043074654,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,6,3,0,150,15,0.6741275797947534,0.23518369205160075,0.15487038427066593,1.2029932449600051,0.9000000000000001,0.05385853920652017,0.7321669566100327,18566.213208236575,-9095.207780589679,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,6,3,0,150,15,0.5706919765578468,0.6418480545534057,0.14844259796014683,1.2572132106422316,1.5460243356501386,0.3022942022547679,0.49024342488103123,20348.499055105174,-9948.770939318256,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,6,3,1,150,15,0.6164968557431191,0.30003268354254825,0.1465119009048239,1.1669985173452038,0.9000000000000001,0.05258682557368333,0.7004545186039942,18197.704485193073,-8910.953419067928,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,6,3,1,150,15,0.6743022394305662,0.52642663168118,0.1454433486692801,1.2916844131961964,1.6188247159301143,0.3239954779136609,0.6301454761280918,20039.974784483253,-9794.508804007295,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,6,3,2,150,15,0.8257485478172836,0.40177028153771005,0.1553865990679489,1.1584125861004468,0.9000000000000001,0.043614218647050285,0.7111686662030946,18164.32597653712,-8894.26416473995,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,6,3,2,150,15,0.8469339430731188,1.0812019486201347,0.14671749804849524,1.3620387420032856,1.8047414355770295,0.20519024844032563,0.6804241206834839,20237.76322663675,-9893.403025084044,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,6,3,3,150,15,0.5072830039476862,0.25963673763080936,0.15590805252619722,1.1581798147100184,0.9000000000000001,0.04272428508198722,0.7224134049779131,18406.520998508597,-9015.36167572569,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,6,3,3,150,15,0.6825576569872475,0.8299685949748443,0.14326315613273743,1.2948055204004936,1.664040887073149,0.38425055113239037,0.5476064212037554,20365.219988441208,-9957.131405986273,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,6,3,4,150,15,0.7252764108105325,0.35357308609444843,0.15490202498239714,1.1949727898590197,0.9000000000000001,0.03655839722432552,0.7277340749992663,18518.015715476515,-9071.109034209649,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,6,3,4,150,15,0.8954860552235842,1.2486987220429722,0.15406965815408133,1.3582199313633714,1.7618085575256381,0.3344325595429769,0.5754642364640549,20608.23142298768,-10078.637123259508,True,auxiliary,ok
