scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type
Control,baseline,gaussian,bernoulli,5,3,3,150,15,0.5954032450514625,0.26496431710643253,0.10922550066390634,0.29510945903465086,0.015342604932083158,0.05757268960398454,0.5280305541941072,12788.45817299579,-6193.803674734045,False,main
Control,dual_expfam,gaussian,bernoulli,5,3,4,150,15,0.7394382488906682,0.33077855208202667,0.11473342138530655,0.29792267976060355,0.01265583069694642,0.08237978592884176,0.5522563698516602,13044.393012305429,-6321.771094388864,False,main
Control,baseline,gaussian,bernoulli,5,3,4,150,15,0.6713598487622429,0.3310691863126653,0.10937961857907563,0.29988770278282517,0.013014741552480056,0.07999777839721078,0.5675463883713744,12984.214778156735,-6291.681977314517,False,main
Control,dual_expfam,gaussian,bernoulli,6,3,0,150,15,0.48685651907575206,0.19198289338897837,0.12773534031156364,0.29257013088452594,0.02078532744803097,0.055302869760586404,0.6585055251451268,13392.000001678502,-6470.5214126049195,False,main
Control,baseline,gaussian,bernoulli,6,3,0,150,15,0.4791602470132718,0.19135183336771794,0.12143742847468436,0.2954085980450671,0.020086111245373676,0.0633628242236054,0.6665649089382488,13349.262516940324,-6449.152670235831,False,main
Control,dual_expfam,gaussian,bernoulli,6,3,1,150,15,0.6595534577779373,0.32727259728130625,0.1235127029971515,0.30532418286088303,0.01688969916695348,0.015359900864273413,0.6577192016201594,13273.616792675686,-6411.329808103512,False,main
Control,baseline,gaussian,bernoulli,6,3,1,150,15,0.7046580882327264,0.33025352731779256,0.12271973736738373,0.3040998027890476,0.016769367433929153,0.029335982419001927,0.6708540301505052,13199.958417794533,-6374.500620662935,False,main
Control,dual_expfam,gaussian,bernoulli,6,3,2,150,15,0.7613841397890952,0.3858894304065926,0.12598127966277473,0.2996319753613857,0.017537584548797638,0.034273072359652934,0.6429790201593124,12959.111333902896,-6254.077078717117,False,main
Control,baseline,gaussian,bernoulli,6,3,2,150,15,0.7613841541878053,0.38588944785419316,0.12598125999660414,0.29963199744419594,0.017537582750381066,0.03427307561841264,0.6429790280419868,12981.068268881807,-6265.055546206572,False,main
Control,dual_expfam,gaussian,bernoulli,6,3,3,150,15,0.533209472921758,0.24822007668270524,0.12260524748301987,0.2941635660388361,0.01755928086118785,0.06657584329542265,0.6665526162742015,13349.275019715653,-6449.158921623495,False,main
Control,baseline,gaussian,bernoulli,6,3,3,150,15,0.5914968609604102,0.2707389873132717,0.12597680587888724,0.29562663741205136,0.015955956394533666,0.0633196682294257,0.6698139001544512,13373.587449057328,-6461.315136294333,False,main
Control,dual_expfam,gaussian,bernoulli,6,3,4,150,15,0.8242163415347207,0.37760958114730814,0.1297716189544012,0.2962271079525375,0.014749399538835684,0.09281223647539283,0.683991332334677,13499.67451984712,-6524.358671689229,False,main
Control,baseline,gaussian,bernoulli,6,3,4,150,15,0.846588731104288,0.3777023200132442,0.12887156424611831,0.29534831440035025,0.013732879757320507,0.08477732728206466,0.6965840765582334,13551.693539743075,-6550.368181637206,False,main
